"NO","FIELD","FORM FIELD ID","FORM FIELD NAME","START","END","LENGTH","TYPE","DESCRIPTION","REQUIRED","VALUE","REGEXP","FILL"
16,"A",5,"GENDER",134,134,1,"TEXT","INJURED EMPLOYEE'S GENDER","Y",,"[FMU]",
17,"A",,,135,142,8,"DATE","DATE INSURER RECEIVED BILL FROM PROVIDER","Y",,"\d{8}",
18,"A",,,143,150,8,"DATE","DATE INSURER PAID, ADJUSTED, DISALLOWED OR DENIED BILL","Y",,"\d{8}",
19,"A",30,"TOTAL REIMB. FROM SECTION 2",151,161,11,"NUMERIC","TOTAL PHARMACY CHARGES PAID BY INSURER","Y",,"\d{11}","LZ"
20,"A",31,"TOTAL REIMB. FROM SECTION 3",162,172,11,"NUMERIC","TOTAL EQUIPMENT & SUPPLY CHARGES PAID BY INSURER","Y",,"\d{11}","LZ"
21,"A",,,173,174,2,"NUMERIC","REPORT REASON CODE","Y",,"\d{2}",
22,"A",6,"CLAIMS HANDLING ENTITY INTERNAL FILE #",175,204,30,"TEXT","CLAIMS HANDLING ENTITY INTERNAL FILE NUMBER","Y",,,"RS"
23,"A",,,205,224,20,"TEXT","SUBMITTER LOCATION",,,,"RS"
24,"A",,,225,226,2,"TEXT","PAYMENT CODE",,,,"RS"
25,"A",,,227,227,1,"TEXT","PRE-PAYMENT/EMPLOYEE PAYMENT/FIRST FILL INDICATOR",,,"[PEF]",
26,"A",29,"PHARMACIST'S FL DOH LICENSE #",228,240,13,"TEXT","PHARMACIST'S FL LICENSE NUMBER","Y",,,"RS"
27,"A",,,241,241,1,"TEXT","DUPLICATE OVERRIDE INDICATOR",,,"Y",
28,"A",,,242,300,59,"TEXT","SPACE FILLER",,,,
1,"B",,,1,13,13,"NUMERIC","CLAIM CONTROL NUMBER","Y",,"\d{13}",
2,"B",,,14,14,1,"NUMERIC","RECORD FLAG","Y",2,,
3,"B",,,15,17,3,"NUMERIC","DETAIL SEQUENCE NUMBER","Y",,"\d{3}","LZ"
4,"B",,,18,18,1,"TEXT","DRUGS / EQUIPMENT & SUPPIES RECORD INDICATOR","Y","D","[DS]",
5,"B","10 OR 22","QUANTITY",19,23,5,"NUMERIC","QUANTITY OF MEDICATION","Y",,"\d{5}","LZ"
6,"B",11,"DAYS",24,26,3,"NUMERIC","DAYS SUPPLY OF MEDICATION",,,"\d{3}","LZ"
7,"B",9,"NDC # (5-4-2 format)",27,39,13,"TEXT","NATIONAL DRUG CODE NUMBER",,,"\d{5}-\d{4}-\d{2}",
8,"B",14,"NEW OR REFILL",40,40,1,"TEXT","PRESCRIPTION – NEW OR REFILL",,,"[NR]",
9,"B",,,41,41,1,"TEXT","PURCHASE / RENTAL INDICATOR",,,,
10,"B","16 OR 19A OR 19B","DATE FILLED OR PURCHASE DATE OR RENTAL DATE",42,49,8,"DATE","DATE FILLED","Y",,"\d{8}",
11,"B",15,"DAW CODE",50,50,1,"NUMERIC","DISPENSED AS WRITTEN (DAW) CODE",,,"[1-8]",
12,"B","17b OR 23b","PRESCRIBER'S FL DOH LICENSE #",51,63,13,"TEXT","PRESCRIBER'S FL LICENSE NUMBER","Y",,,"RS"
13,"B","13 OR 20","USUAL CHARGE",64,74,11,"NUMERIC","USUAL CHARGE FOR DRUG","Y",,"\d{11}","LZ"
14,"B",,,75,76,2,"NUMERIC","EXPLAINATION OF BILL REVIEW CODE 1","Y",,"\d{2}",
15,"B",,,77,78,2,"NUMERIC","EXPLAINATION OF BILL REVIEW CODE 2",,,"\d{2}",
16,"B",,,79,80,2,"NUMERIC","EXPLAINATION OF BILL REVIEW CODE 2",,,"\d{2}",
17,"B",21,"HCPCS CODE",81,85,5,"TEXT","HCPCS LEVEL II CODE",,,,
18,"B",,,86,96,11,"NUMERIC","AMOUNT PAID BY INSURER","Y",,"\d{11}","LZ"
19,"B",,,97,300,204,"TEXT","SPACE FILLER",,,,
1,"T",,,1,3,3,"TEXT","TRANSMISSION TRAILER MARKER","Y","TR1",,
2,"T",,,4,9,6,"NUMERIC","NUMBER OF CLAIMS IN TRANSMISSION","Y",,"\d{6}","LZ"
3,"T",,,10,300,291,"TEXT","SPACE FILLER",,,,
